Event,Athlete,Year,Mark/Time,Wind,Meet,Date
Shot Put,"Dixon, Simon",JR-3,16.20m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Shot Put,"Dixon, Simon",JR-3,16.16m,,Midwest Twilight Final Qualifier,"May 14, 2025"
Shot Put,"Dixon, Simon",JR-3,16.07m,,NCAA Division III Outdoor Track & Field Championships,"May 22, 2025"
Shot Put,"Dixon, Simon",JR-3,15.80m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Shot Put,"Dixon, Simon",JR-3,15.73m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Shot Put,"Dixon, Simon",JR-3,15.68m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Shot Put,"Dixon, Simon",JR-3,15.66m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Shot Put,"Dixon, Simon",JR-3,15.66m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Shot Put,"Dixon, Simon",JR-3,15.51m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Shot Put,"Dixon, Simon",JR-3,15.47m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Shot Put,"Dixon, Simon",JR-3,15.29m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Shot Put,"Dixon, Simon",JR-3,15.21m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Shot Put,"Dixon, Simon",JR-3,14.99m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Shot Put,"Dixon, Simon",JR-3,14.98m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Shot Put,"Dixon, Simon",JR-3,14.93m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Shot Put,"Dixon, Simon",JR-3,14.67m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Shot Put,"Dixon, Simon",JR-3,14.66m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Shot Put,"Dixon, Simon",JR-3,14.64m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Shot Put,"McGallian, Andrew",SR-4,14.17m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Shot Put,"McGallian, Andrew",SR-4,13.21m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Shot Put,"McGallian, Andrew",SR-4,13.12m,,Wheaton Invitational 2025,"Apr 12, 2025"
Shot Put,"McGallian, Andrew",SR-4,13.12m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Shot Put,"McGallian, Andrew",SR-4,13.10m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Shot Put,"McGallian, Andrew",SR-4,13.00m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Shot Put,"McGallian, Andrew",SR-4,12.93m,,Wheaton Invitational 2025,"Apr 12, 2025"
Shot Put,"McGallian, Andrew",SR-4,12.81m,,Wheaton Invitational 2025,"Apr 12, 2025"
Shot Put,"McGallian, Andrew",SR-4,12.70m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Shot Put,"McGallian, Andrew",SR-4,12.58m,,Wheaton Invitational 2025,"Apr 12, 2025"
Shot Put,"Kerr, Jacob",FR-1,12.52m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Shot Put,"Kerr, Jacob",FR-1,12.41m,,Wheaton Invitational 2025,"Apr 12, 2025"
Shot Put,"McGallian, Andrew",SR-4,12.29m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Shot Put,"Kerr, Jacob",FR-1,12.22m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Shot Put,"Kerr, Jacob",FR-1,12.21m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Shot Put,"Jiang, Allen",SO-2,12.10m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Shot Put,"Kerr, Jacob",FR-1,12.00m,,Wheaton Invitational 2025,"Apr 12, 2025"
Shot Put,"Dixon, Simon",JR-3,11.93m,,Midwest Twilight Final Qualifier,"May 14, 2025"
Shot Put,"Jiang, Allen",SO-2,11.92m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Shot Put,"Jiang, Allen",SO-2,11.88m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Shot Put,"Jiang, Allen",SO-2,11.69m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Shot Put,"Jiang, Allen",SO-2,11.16m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Shot Put,"Nelson, Michael",JR-3,11.15m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Shot Put,"Nelson, Michael",JR-3,10.56m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Shot Put,"Nelson, Michael",JR-3,10.42m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Shot Put,"Nelson, Michael",JR-3,10.34m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Discus,"Dixon, Simon",JR-3,46.52m,,Wheaton Invitational 2025,"Apr 12, 2025"
Discus,"Dixon, Simon",JR-3,44.28m,,Wheaton Invitational 2025,"Apr 12, 2025"
Discus,"Dixon, Simon",JR-3,43.39m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Discus,"Dixon, Simon",JR-3,43.30m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Discus,"Dixon, Simon",JR-3,42.45m,,Wheaton Invitational 2025,"Apr 12, 2025"
Discus,"McGallian, Andrew",SR-4,40.79m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Discus,"Nelson, Michael",JR-3,39.83m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Discus,"McGallian, Andrew",SR-4,39.35m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Discus,"Nelson, Michael",JR-3,39.22m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Discus,"Nelson, Michael",JR-3,39.20m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Discus,"Dixon, Simon",JR-3,39.16m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Discus,"Dixon, Simon",JR-3,39.04m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Discus,"Nelson, Michael",JR-3,38.72m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Discus,"Dixon, Simon",JR-3,38.59m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Discus,"Nelson, Michael",JR-3,38.41m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Discus,"Nelson, Michael",JR-3,38.25m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Discus,"McGallian, Andrew",SR-4,38.16m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Discus,"McGallian, Andrew",SR-4,37.93m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Discus,"Dixon, Simon",JR-3,37.65m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Discus,"Nelson, Michael",JR-3,37.36m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Discus,"Nelson, Michael",JR-3,37.23m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Discus,"Nelson, Michael",JR-3,37.01m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Discus,"Dixon, Simon",JR-3,36.94m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Discus,"McGallian, Andrew",SR-4,36.94m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Discus,"McGallian, Andrew",SR-4,36.54m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Discus,"Nelson, Michael",JR-3,36.19m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Discus,"McGallian, Andrew",SR-4,36.14m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Discus,"McGallian, Andrew",SR-4,35.92m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Discus,"McGallian, Andrew",SR-4,35.53m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Discus,"Nelson, Michael",JR-3,34.69m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Discus,"Nelson, Michael",JR-3,34.67m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Discus,"McGallian, Andrew",SR-4,34.43m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Discus,"Chin, Brian",FR-1,33.34m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Discus,"Nelson, Michael",JR-3,33.07m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Discus,"Nelson, Michael",JR-3,33.02m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"Dixon, Simon",JR-3,52.27m,,Wheaton Invitational 2025,"Apr 12, 2025"
Hammer,"Jiang, Allen",SO-2,48.74m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"Dixon, Simon",JR-3,47.59m,,Wheaton Invitational 2025,"Apr 12, 2025"
Hammer,"Jiang, Allen",SO-2,47.26m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Hammer,"Jiang, Allen",SO-2,47.07m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"Dixon, Simon",JR-3,46.74m,,Wheaton Invitational 2025,"Apr 12, 2025"
Hammer,"Jiang, Allen",SO-2,46.56m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Hammer,"Jiang, Allen",SO-2,46.45m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Hammer,"Dixon, Simon",JR-3,45.94m,,Wheaton Invitational 2025,"Apr 12, 2025"
Hammer,"Jiang, Allen",SO-2,45.89m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Hammer,"Jiang, Allen",SO-2,45.76m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"Chin, Brian",FR-1,45.23m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"Jiang, Allen",SO-2,45.12m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Hammer,"Jiang, Allen",SO-2,44.90m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"Chin, Brian",FR-1,43.48m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Hammer,"Chin, Brian",FR-1,43.34m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Hammer,"Jiang, Allen",SO-2,43.33m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Hammer,"Jiang, Allen",SO-2,43.26m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"McGallian, Andrew",SR-4,43.13m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"Chin, Brian",FR-1,42.59m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Hammer,"Chin, Brian",FR-1,42.29m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"McGallian, Andrew",SR-4,41.93m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"Chin, Brian",FR-1,41.91m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Hammer,"Chin, Brian",FR-1,41.78m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Hammer,"Chin, Brian",FR-1,41.03m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Hammer,"McGallian, Andrew",SR-4,40.79m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"Jiang, Allen",SO-2,40.72m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Hammer,"Chin, Brian",FR-1,40.60m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Hammer,"McGallian, Andrew",SR-4,40.16m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"Chin, Brian",FR-1,39.94m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Hammer,"McGallian, Andrew",SR-4,38.94m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"Chin, Brian",FR-1,0.94m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Hammer,"Chin, Brian",FR-1,0.04m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Kadiri, Seyi",JR-3,55.29m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"Kadiri, Seyi",JR-3,53.57m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"Kadiri, Seyi",JR-3,52.72m,,Wash U Invite,"Mar 28, 2025"
Javelin,"Kadiri, Seyi",JR-3,52.35m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Kadiri, Seyi",JR-3,51.55m,,Wash U Invite,"Mar 28, 2025"
Javelin,"Kadiri, Seyi",JR-3,51.23m,,Wash U Invite,"Mar 28, 2025"
Javelin,"Kadiri, Seyi",JR-3,51.21m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"Kadiri, Seyi",JR-3,51.01m,,Wheaton Invitational 2025,"Apr 12, 2025"
Javelin,"Kadiri, Seyi",JR-3,50.74m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Kadiri, Seyi",JR-3,50.16m,,Wash U Invite,"Mar 28, 2025"
Javelin,"Kadiri, Seyi",JR-3,49.94m,,Wheaton Invitational 2025,"Apr 12, 2025"
Javelin,"Kadiri, Seyi",JR-3,49.52m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"Nelson, Michael",JR-3,49.49m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Kadiri, Seyi",JR-3,49.15m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Anderson, Ryan",JR-3,49.10m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Anderson, Ryan",JR-3,48.94m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Javelin,"Nelson, Michael",JR-3,48.83m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Javelin,"Anderson, Ryan",JR-3,48.82m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Nelson, Michael",JR-3,48.40m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Javelin,"Nelson, Michael",JR-3,48.30m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Anderson, Ryan",JR-3,48.26m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Javelin,"Anderson, Ryan",JR-3,48.22m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Nelson, Michael",JR-3,48.12m,,Wheaton Invitational 2025,"Apr 12, 2025"
Javelin,"Nelson, Michael",JR-3,48.04m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Javelin,"Nelson, Michael",JR-3,47.94m,,Midwest Twilight Final Qualifier,"May 14, 2025"
Javelin,"Kadiri, Seyi",JR-3,47.92m,,Wheaton Invitational 2025,"Apr 12, 2025"
Javelin,"Nelson, Michael",JR-3,47.88m,,Midwest Twilight Final Qualifier,"May 14, 2025"
Javelin,"Anderson, Ryan",JR-3,47.59m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Javelin,"Nelson, Michael",JR-3,47.40m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Javelin,"Nelson, Michael",JR-3,47.29m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Anderson, Ryan",JR-3,47.24m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Javelin,"Nelson, Michael",JR-3,47.18m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Javelin,"Anderson, Ryan",JR-3,47.12m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Javelin,"Nelson, Michael",JR-3,46.95m,,Midwest Twilight Final Qualifier,"May 14, 2025"
Javelin,"Nelson, Michael",JR-3,46.80m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Javelin,"Nelson, Michael",JR-3,46.42m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Javelin,"Nelson, Michael",JR-3,46.40m,,Midwest Twilight Final Qualifier,"May 14, 2025"
Javelin,"Nelson, Michael",JR-3,46.28m,,Midwest Twilight Final Qualifier,"May 14, 2025"
Javelin,"Kadiri, Seyi",JR-3,46.22m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"Nelson, Michael",JR-3,46.16m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"Kadiri, Seyi",JR-3,46.03m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"Nelson, Michael",JR-3,46.00m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Javelin,"Nelson, Michael",JR-3,45.80m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Nelson, Michael",JR-3,45.80m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Javelin,"Nelson, Michael",JR-3,45.74m,,Wheaton Invitational 2025,"Apr 12, 2025"
Javelin,"Kadiri, Seyi",JR-3,45.72m,,Wash U Invite,"Mar 28, 2025"
Javelin,"Nelson, Michael",JR-3,45.24m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"Nelson, Michael",JR-3,45.14m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Anderson, Ryan",JR-3,45.12m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Nelson, Michael",JR-3,44.98m,,Midwest Twilight Final Qualifier,"May 14, 2025"
Javelin,"Nelson, Michael",JR-3,44.93m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"Nelson, Michael",JR-3,44.85m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Javelin,"Nelson, Michael",JR-3,44.78m,,Wheaton Invitational 2025,"Apr 12, 2025"
Javelin,"Anderson, Ryan",JR-3,44.32m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Javelin,"Nelson, Michael",JR-3,44.00m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"Anderson, Ryan",JR-3,43.55m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Javelin,"Kadiri, Seyi",JR-3,43.06m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Anderson, Ryan",JR-3,42.89m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Javelin,"Nelson, Michael",JR-3,42.87m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"Anderson, Ryan",JR-3,42.69m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"Anderson, Ryan",JR-3,42.40m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Javelin,"Anderson, Ryan",JR-3,40.92m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
Javelin,"Nelson, Michael",JR-3,40.72m,,2025 Big Blue Alumni Invite,"Mar 29, 2025"
Javelin,"McGallian, Andrew",SR-4,40.14m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"Nelson, Michael",JR-3,40.07m,,St. Francis Fighting Chance Invite,"May 9, 2025"
Javelin,"McGallian, Andrew",SR-4,40.01m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"McGallian, Andrew",SR-4,39.80m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"McGallian, Andrew",SR-4,39.14m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"McGallian, Andrew",SR-4,38.49m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"McGallian, Andrew",SR-4,38.46m,,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
Javelin,"McGallian, Andrew",SR-4,38.21m,,UAA Outdoor Conference Championships,"Apr 26, 2025"
Javelin,"McGallian, Andrew",SR-4,36.65m,,Chicagoland Outdoor Championship,"Apr 3, 2025"
